id:ID,gener,par1,par2,year:int,:LABEL
"0002672B","1","TL1","10/3","2000","Plant"
"0002672C","1","TL1","10/3","2000","Plant"
"0002675C","1","TL1","10/3","2000","Plant"
"0002687C","1","EJULU","SFS150","2000","Plant"
"0002690B","1","EJULU","SFS150","2000","Plant"
"0002718A","1","EJULU","SFS150","2000","Plant"
"0002718D","1","EJULU","SFS150","2000","Plant"
"0002732A","1","TL1","10/3","2000","Plant"
"0002732B","1","TL1","10/3","2000","Plant"
"0002732C","1","TL1","10/3","2000","Plant"
"0002741A","1","TL1","10/3","2000","Plant"
"0002741C","1","TL1","10/3","2000","Plant"
"0002741D","1","TL1","10/3","2000","Plant"
"0002746B","1","TL1","10/3","2000","Plant"
"0002746C","1","TL1","10/3","2000","Plant"
"0002751A","1","TL1","10/3","2000","Plant"
"0002751B","1","TL1","10/3","2000","Plant"
"0002776B","1","TL1","10/3","2000","Plant"
"0002776C","1","TL1","10/3","2000","Plant"
"0002781A","1","SFS150","6/8","2000","Plant"
"0002781B","1","SFS150","6/8","2000","Plant"
"0002781C","1","SFS150","6/8","2000","Plant"
"0002782","1","SFS150","6/8","2000","Plant"
"0002782A","1","SFS150","6/8","2000","Plant"
"0002783B","1","SFS150","6/8","2000","Plant"
"0002790","1","SFS150","6/8","2000","Plant"
"0002799A","1","SFS150","6/8","2000","Plant"
"0002799B","1","SFS150","6/8","2000","Plant"
"0002799C","1","SFS150","6/8","2000","Plant"
"0002801B","1","SFS150","6/8","2000","Plant"
"0002801C","1","SFS150","6/8","2000","Plant"
"0002813A","1","SFS150","6/8","2000","Plant"
"0002813B","1","SFS150","6/8","2000","Plant"
"0002820A","1","SFS150","6/8","2000","Plant"
"0002820B","1","SFS150","6/8","2000","Plant"
"0002861C","1","PC110","10/3","2000","Plant"
"0002864A","1","PC110","10/3","2000","Plant"
"0002881B","1","MRTM1","TL1","2000","Plant"
