	ID	Female_parent	Male_parent
41336	2106763a	9702631	0405071
41337	2106782b	0000014b	0403128b
41338	2106797a	0000014b	0403128b
41339	2106805b	0704524b	0903256b
41340	2106812b	0704524b	0903256b
41341	2106816a	0704524b	0903256b
41342	2106816d	0704524b	0903256b
41343	2106829a	0704524b	0903256b
41344	2106829b	0704524b	0903256b
41345	2106831b	0704524b	0903256b
41346	2106831c	0704524b	0903256b
41347	2106834c	0704524b	0903256b
41348	2106846a	0704524b	0903256b
41349	2106846b	0704524b	0903256b
41350	2106922b	9701987b	0405071
41351	2106923a	9701987b	0405071
41352	2106923b	9701987b	0405071
41353	2107028a	9903666a	0907899
41354	2107034a	9903666a	0907899
41355	2107034b	9903666a	0907899
41356	2107034c	9903666a	0907899
41357	2107106a	0704524b	0906952b
41358	2107106b	0704524b	0906952b
41359	2107106c	0704524b	0906952b
41360	2107127a	0704524b	0906952b
41361	2107127b	0704524b	0906952b
41362	2107132a	0704524b	0906952b
41363	2107132b	0704524b	0906952b
41364	2107132c	0704524b	0906952b
41365	2107137b	0704524b	0906952b
41366	2107137c	0704524b	0906952b
41367	2107143a	0704524b	0906952b
41368	2107143b	0704524b	0906952b
41369	2107143c	0704524b	0906952b
41370	2107146a	0704524b	0906952b
41371	2107146b	0704524b	0906952b
41372	2107146c	0704524b	0906952b
41373	2107147a	0704524b	0906952b
41374	2107147b	0704524b	0906952b
41375	2107149b	0704524b	0906952b
41376	2107192d	9701987b	0405071
41377	2107206a	0000014b	0802684
41378	2107219a	0000014b	0802684
41379	2107251b	0704524b	0903256b
41380	2107261a	0704524b	0903256b
41381	2107261b	0704524b	0903256b
41382	2107264a	0704524b	0903256b
41383	2107264b	0704524b	0903256b
41384	2107264c	0704524b	0903256b
41385	2107267a	0704524b	0903256b
41386	2107268a	0704524b	0903256b
41387	2107268b	0704524b	0903256b
41388	2107268c	0704524b	0903256b
41389	2107268d	0704524b	0903256b
41390	2107268e	0704524b	0903256b
41391	2107269a	0704524b	0903256b
41392	2107269b	0704524b	0903256b
41393	2107269c	0704524b	0903256b
41394	2107269d	0704524b	0903256b
41395	2107269e	0704524b	0903256b
41396	2107282a	0704524b	0906952b
41397	2107282b	0704524b	0906952b
41398	2107291b	9701987b	0405071
41399	2107292a	9701987b	0405071
41400	2107292b	9701987b	0405071
41401	2107360a	9701987b	0405071
41402	2107360b	9701987b	0405071
41403	2107383a	9701987b	0902216
41404	2107383b	9701987b	0902216
41405	2107384a	9701987b	0902216
41406	2107384b	9701987b	0902216
41407	2107384c	9701987b	0902216
41408	2107386a	9701987b	0902216
41409	2107386b	9701987b	0902216
41410	2107396a	9701987b	0902216
41411	2107396b	9701987b	0902216
41412	2107398a	9701987b	0902216
41413	2107400a	9701987b	0902216
41414	2107400b	9701987b	0902216
41415	2107401a	9701987b	0902216
41416	2107401c	9701987b	0902216
41417	2107408a	9701987b	0902216
41418	2107408b/1	9701987b	0902216
41419	2107408b/2	9701987b	0902216
41420	2107408c	9701987b	0902216
41421	2107410a	9701987b	0902216
41422	2107429b	9903666a	0401658a
41423	2107429c	9903666a	0401658a
41424	2107491a	9701987b	0902216
41425	2107491b	9701987b	0902216
41426	2107495a	9701987b	0902216
